AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2024/08/01,00:00,21.4,0.0,94,128,1.3
2024/08/01,01:00,21.4,0.0,94,125,0.6
2024/08/01,02:00,21.2,0.0,96,119,1.6
2024/08/01,03:00,21.6,0.0,93,123,1.3
2024/08/01,04:00,21.8,0.0,92,106,1.1
2024/08/01,05:00,21.9,0.0,91,125,0.6
2024/08/01,06:00,21.2,0.0,96,88,0.0
2024/08/01,07:00,21.4,0.0,95,142,0.7
2024/08/01,08:00,21.6,0.0,93,116,0.8
2024/08/01,09:00,22.5,0.0,90,138,1.6
2024/08/01,10:00,23.6,0.0,86,149,1.8
2024/08/01,11:00,25.5,0.0,81,140,0.7
2024/08/01,12:00,28.3,0.0,71,151,0.7
2024/08/01,13:00,29.0,0.0,71,301,1.1
2024/08/01,14:00,30.3,0.0,67,346,1.0
2024/08/01,15:00,29.2,0.0,69,253,0.9
2024/08/01,16:00,28.7,0.0,72,100,1.4
2024/08/01,17:00,26.6,0.0,85,80,1.2
2024/08/01,18:00,24.4,1.6,92,115,0.7
2024/08/01,19:00,23.0,1.0,97,119,2.0
2024/08/01,20:00,23.1,0.0,97,134,1.6
2024/08/01,21:00,23.0,0.0,97,133,1.7
2024/08/01,22:00,23.0,0.0,95,114,0.7
2024/08/01,23:00,22.9,0.0,95,226,0.0
2024/08/02,00:00,22.5,0.0,98,68,0.1
2024/08/02,01:00,22.4,0.0,98,128,1.2
2024/08/02,02:00,22.0,0.0,98,123,0.6
2024/08/02,03:00,21.9,0.0,97,108,0.2
2024/08/02,04:00,21.8,0.0,98,138,0.7
2024/08/02,05:00,21.7,0.0,97,128,0.7
2024/08/02,06:00,21.4,0.0,98,110,0.2
2024/08/02,07:00,20.7,0.0,99,112,0.1
2024/08/02,08:00,21.0,0.0,100,322,0.0
2024/08/02,09:00,22.6,0.0,95,182,0.4
2024/08/02,10:00,24.4,0.0,88,141,1.7
2024/08/02,11:00,25.3,0.0,83,153,1.4
2024/08/02,12:00,27.6,0.0,73,153,0.6
2024/08/02,13:00,29.8,0.0,64,287,1.7
2024/08/02,14:00,29.8,0.0,65,244,1.9
2024/08/02,15:00,29.6,0.0,69,266,1.1
2024/08/02,16:00,28.9,0.0,71,278,0.9
2024/08/02,17:00,28.9,0.0,72,355,0.2
2024/08/02,18:00,27.6,0.0,83,107,0.6
2024/08/02,19:00,25.9,0.0,90,31,0.4
2024/08/02,20:00,24.8,0.0,93,117,1.0
2024/08/02,21:00,24.4,0.0,92,109,0.7
2024/08/02,22:00,23.4,0.0,95,120,0.5
2024/08/02,23:00,23.4,0.0,93,115,0.6
2024/08/03,00:00,22.9,0.0,95,117,1.0
2024/08/03,01:00,23.5,0.0,92,119,1.4
2024/08/03,02:00,23.3,0.0,93,110,1.0
2024/08/03,03:00,22.5,0.0,97,79,0.3
2024/08/03,04:00,22.0,0.0,99,101,0.2
2024/08/03,05:00,22.7,0.0,95,105,1.4
2024/08/03,06:00,22.9,0.0,91,133,0.8
2024/08/03,07:00,22.7,0.0,92,281,0.7
2024/08/03,08:00,22.3,0.0,96,167,0.2
2024/08/03,09:00,23.4,0.0,90,256,0.8
2024/08/03,10:00,24.6,0.0,86,156,1.1
2024/08/03,11:00,26.1,0.0,78,134,1.0
2024/08/03,12:00,29.4,0.0,69,147,1.2
2024/08/03,13:00,30.2,0.0,69,298,1.7
2024/08/03,14:00,30.3,0.0,68,295,2.0
2024/08/03,15:00,30.9,0.0,63,297,1.4
2024/08/03,16:00,30.3,0.0,65,42,1.2
2024/08/03,17:00,29.7,0.0,66,66,1.1
2024/08/03,18:00,26.3,0.8,78,147,3.8
2024/08/03,19:00,23.3,4.0,96,125,0.9
2024/08/03,20:00,23.1,0.2,95,103,1.6
2024/08/03,21:00,22.9,0.0,95,102,1.7
2024/08/03,22:00,22.7,0.0,96,88,0.9
2024/08/03,23:00,22.5,0.0,96,123,1.3
2024/08/04,00:00,22.0,0.0,96,128,1.3
2024/08/04,01:00,21.6,0.0,98,120,2.0
2024/08/04,02:00,21.6,0.0,97,143,1.4
2024/08/04,03:00,21.4,0.0,97,134,1.6
2024/08/04,04:00,21.8,0.0,94,113,1.4
2024/08/04,05:00,21.8,0.0,94,135,1.7
2024/08/04,06:00,21.7,0.0,96,152,1.3
2024/08/04,07:00,21.8,0.0,94,142,1.3
2024/08/04,08:00,21.8,0.0,93,124,1.0
2024/08/04,09:00,22.8,0.0,89,130,1.9
2024/08/04,10:00,24.4,0.0,83,140,1.7
2024/08/04,11:00,26.7,0.0,76,136,1.3
2024/08/04,12:00,28.9,0.0,65,172,1.0
2024/08/04,13:00,30.4,0.0,64,285,1.6
2024/08/04,14:00,30.9,0.0,66,271,1.8
2024/08/04,15:00,31.6,0.0,63,339,2.3
2024/08/04,16:00,31.2,0.0,62,300,2.3
2024/08/04,17:00,29.9,0.0,68,77,0.5
2024/08/04,18:00,27.0,0.2,83,151,1.2
2024/08/04,19:00,25.4,0.0,91,115,1.3
2024/08/04,20:00,25.1,0.0,90,138,2.4
2024/08/04,21:00,24.3,1.2,88,109,1.2
2024/08/04,22:00,23.3,2.0,93,97,1.7
2024/08/04,23:00,22.7,59.4,98,175,1.3
2024/08/05,00:00,22.0,63.8,100,114,1.4
2024/08/05,01:00,21.8,0.2,100,109,1.2
2024/08/05,02:00,21.7,0.0,97,101,1.3
2024/08/05,03:00,21.7,0.0,97,121,1.0
2024/08/05,04:00,21.8,0.0,96,115,1.0
2024/08/05,05:00,21.2,0.2,98,321,0.6
2024/08/05,06:00,21.0,0.0,98,119,1.5
2024/08/05,07:00,21.7,0.0,96,112,2.1
2024/08/05,08:00,22.2,0.0,94,124,1.4
2024/08/05,09:00,22.8,0.0,94,146,1.8
2024/08/05,10:00,24.6,0.0,87,157,1.0
2024/08/05,11:00,26.8,0.0,80,153,1.1
2024/08/05,12:00,28.9,0.0,75,348,0.5
2024/08/05,13:00,29.7,0.0,73,272,1.3
2024/08/05,14:00,27.7,0.0,83,338,0.9
2024/08/05,15:00,26.9,0.2,88,218,0.4
2024/08/05,16:00,28.5,0.0,72,132,1.4
2024/08/05,17:00,27.6,0.0,77,144,2.2
2024/08/05,18:00,27.2,0.0,78,62,0.7
2024/08/05,19:00,25.4,0.0,84,133,1.6
2024/08/05,20:00,24.4,0.0,88,128,2.2
2024/08/05,21:00,23.9,0.0,88,99,0.9
2024/08/05,22:00,23.7,0.2,89,109,1.2
2024/08/05,23:00,23.3,0.0,90,134,1.3
2024/08/06,00:00,22.6,0.0,95,49,0.4
2024/08/06,01:00,22.4,0.0,97,193,0.3
2024/08/06,02:00,22.3,0.0,97,122,0.3
2024/08/06,03:00,21.9,0.0,98,100,0.8
2024/08/06,04:00,21.2,0.0,98,84,0.7
2024/08/06,05:00,20.9,0.0,98,120,1.3
2024/08/06,06:00,20.9,0.0,96,112,1.4
2024/08/06,07:00,21.0,0.0,95,122,0.6
2024/08/06,08:00,20.8,0.0,96,5,0.4
2024/08/06,09:00,21.7,0.0,93,117,1.2
2024/08/06,10:00,23.3,0.0,87,122,1.8
2024/08/06,11:00,25.4,0.0,80,72,0.6
2024/08/06,12:00,26.1,0.0,82,266,1.6
2024/08/06,13:00,27.4,0.0,80,303,1.2
2024/08/06,14:00,29.2,0.0,68,294,1.3
2024/08/06,15:00,29.5,0.0,67,250,2.3
2024/08/06,16:00,29.6,0.0,68,268,2.3
2024/08/06,17:00,29.5,0.0,69,284,1.6
2024/08/06,18:00,27.8,0.0,74,55,0.5
2024/08/06,19:00,24.9,0.0,90,85,0.8
2024/08/06,20:00,24.0,0.0,94,80,0.8
2024/08/06,21:00,23.6,0.0,95,108,0.6
2024/08/06,22:00,23.3,0.0,96,128,0.1
2024/08/06,23:00,23.6,0.0,96,91,0.3
2024/08/07,00:00,23.3,3.8,98,133,0.5
2024/08/07,01:00,23.1,0.2,98,138,0.8
2024/08/07,02:00,23.1,0.0,98,86,0.8
2024/08/07,03:00,22.9,0.0,98,5,0.4
2024/08/07,04:00,22.7,0.0,99,78,0.0
2024/08/07,05:00,22.0,0.0,99,129,0.6
2024/08/07,06:00,21.7,0.0,99,131,0.6
